[05.10.2014 23:01:01] INFO  | Setting up components...
[05.10.2014 23:01:42] INFO  | Setting up components...
[05.10.2014 23:03:17] INFO  | Setting up components...
[05.10.2014 23:03:32] INFO  | Setting up components...
[05.10.2014 23:39:33] INFO  | Setting up components...
[05.10.2014 23:39:43] INFO  | Setting up components...
[09.10.2014 13:17:25] INFO  | Setting up components...
[09.10.2014 13:17:37] INFO  | Setting up components...
[09.10.2014 13:21:36] INFO  | Setting up components...
[09.10.2014 13:23:58] INFO  | Setting up components...
[09.10.2014 13:25:05] INFO  | Setting up components...
[09.10.2014 13:27:44] INFO  | Setting up components...
[09.10.2014 13:37:14] INFO  | Setting up components...
[09.10.2014 13:43:52] INFO  | Setting up components...
[09.10.2014 13:45:41] INFO  | Setting up components...
[09.10.2014 14:03:25] INFO  | Setting up components...
[09.10.2014 14:09:33] INFO  | Setting up components...
[09.10.2014 14:18:12] INFO  | Setting up components...
[09.10.2014 14:21:33] INFO  | Setting up components...
[09.10.2014 14:42:51] INFO  | Setting up components...
[09.10.2014 14:44:48] INFO  | Setting up components...
[09.10.2014 14:48:08] INFO  | Setting up components...
[09.10.2014 14:49:46] INFO  | Setting up components...
[09.10.2014 14:50:46] INFO  | Setting up components...
[09.10.2014 14:51:15] INFO  | Setting up components...
[09.10.2014 14:51:39] INFO  | Setting up components...
[09.10.2014 14:56:37] INFO  | Setting up components...
[09.10.2014 15:01:31] INFO  | Setting up components...
[09.10.2014 15:06:06] INFO  | Setting up components...
[09.10.2014 15:21:11] INFO  | Setting up components...
[09.10.2014 15:56:41] INFO  | Setting up components...
[09.10.2014 16:59:29] INFO  | Setting up components...
[09.10.2014 17:16:07] INFO  | Setting up components...
[09.10.2014 17:18:21] INFO  | Setting up components...
[11.10.2014 23:06:22] INFO  | Setting up components...
[11.10.2014 23:06:41] INFO  | Setting up components...
[11.10.2014 23:09:23] INFO  | Setting up components...
[11.10.2014 23:16:17] INFO  | Setting up components...
[11.10.2014 23:16:38] INFO  | Setting up components...
[11.10.2014 23:35:26] INFO  | Setting up components...
[11.10.2014 23:37:53] INFO  | Setting up components...
[12.10.2014 14:19:19] INFO  | Setting up components...
[12.10.2014 14:41:13] INFO  | Setting up components...
[12.10.2014 14:46:23] INFO  | Setting up components...
[12.10.2014 14:48:18] INFO  | Setting up components...
[12.10.2014 14:48:42] INFO  | Setting up components...
[12.10.2014 19:40:11] INFO  | Setting up components...
[12.10.2014 19:40:34] INFO  | Setting up components...
[12.10.2014 19:41:03] INFO  | Setting up components...
[12.10.2014 19:41:36] INFO  | Setting up components...
[12.10.2014 19:41:59] INFO  | Setting up components...
[12.10.2014 19:43:14] INFO  | Setting up components...
[12.10.2014 19:44:01] INFO  | Setting up components...
[12.10.2014 19:44:45] INFO  | Setting up components...
[12.10.2014 19:45:06] INFO  | Setting up components...
[12.10.2014 19:45:28] INFO  | Setting up components...
[12.10.2014 19:45:45] INFO  | Setting up components...
[12.10.2014 19:53:26] INFO  | Setting up components...
[12.10.2014 19:56:03] INFO  | Setting up components...
[12.10.2014 19:58:43] INFO  | Setting up components...
[12.10.2014 20:00:18] INFO  | Setting up components...
